"corp_id","doc_id","title","acronym","abstract","doc_keywords"
"FET","CROSSTRAP","CROSSTRAP","CROSSTRAP","CROSSTRAP aims at developing a versatile method for standoff chemical identification of trace amounts of airborne pollutants, such as biochemicals, bacterial threats and explosive materials that can be fingerprinted using their characteristic vibrational Raman spectral signatures. The core idea is to enable a free-space scheme for coherent anti-Stokes Raman scattering (CARS) in the direction exactly reversed with respect to an outgoing laser excitation, so that the probe beam can be arbitrarily pointed in any unobstructed direction and an enhanced backward propagating signal detected at the laser source using a LIDAR-type apparatus.  ",
"FET","CROWN","CROWN","CROWN","CROWN aims to solve the problem of distributed interference awareness, and of communicating over as many as possible concurrent channels in the same communication spectrum with minimal mutual interference, enabled by smart antenna systems. In order to address inefficient network spectrum regulatory authorities have introduced an initiative to improve utilisation of the licensed spectrum by removing the regulatory barriers, thereby introducing the concept of dynamic spectrum licensing.  ",
"FET","CURVACE","CURVACE","CURVACE","CURVACE aims develop artificial compound eyes, composed of micro-lens arrays arranged on planar, curved, and flexible surfaces, integrated with individual adaptive photo receptors and processed by neuromorphic vision filters to rapidly extract motion-related information. The project describes a novel combination of optic fabrication, neuromorphic engineering, micro-electronics in bendable surfaces, and insect-inspired motion detection. Compared to conventional cameras, artificial compound eyes offer a much larger field of view in a more compact form with less distortion, aberration, and blur.  ",
"FET","DYNANETS","DYNANETS","DYNANETS","DYNANETS will study and develop a new paradigm of computing through Dynamically Changing Complex Networks reproducing the way nature processes information. It will develop the theory and methods of dynamical networks and provide new insights into the underlying processes of nature, economy, and society. As a pilot study the proposed project will investigate the dynamics of the HIV and influenza epidemics from the molecule all the way up to the population.  ",
"FET","ECCELL","ECCELL","ECCELL","ECCELL will lay the foundation of micro- and nano-scale molecular information processing by creating the first electronically programmable chemical cell. Such cells will exhibit self-replication, self-containment and self-regulation of resources.  ",
"FET","E-FLUX","E-FLUX","E-FLUX","E-FLUX will develop droplet-based digital micro-fluidic systems for the manipulation of self-reproducing artificial compartments and natural cells. The consortium proposes to build an evolution machine using micro- or mini-fluidics. The proposal seeks to create a new form of artificial living organism (self-reproducing automata) that can accept information from the environment providing a new type of information processing technology.  ",
"FET","FEMTOBLUE","FEMTOBLUE","FEMTOBLUE","FEMTOBLUE is creating a new technological base for ultra-fast semiconductor laser diode devices producing femtosecond optical pulses in the blue and violet spectral range. This new technology will lay the foundation for miniature portable femtosecond lasers in the blue-violet range that will replace traditional sources, and will support developments in the fields of ultra-fast optical spectroscopy, high-resolution lithography, quantum optics, optical comb frequency standards, fluorescence decay analysis and biomedical diagnostics.  ",
"FET","FORMATH","FORMATH","FORMATH","FORMATH aims to make formal proof verification available to domains that were hitherto beyond the reach of proof systems. Mathematics is already playing a crucial role in the design of sophisticated systems that are used daily - in geometrical modeling, robotics, etc. The research work involves developing libraries of formalized mathematics concerning linear algebra, real number computation, and algebraic topology. The main originality of this project is to structure these libraries as a software development, relying on a basis that has already shown its power in the formal proof of the four color theorem, and to address topics that were mostly left untouched by previous research in formal proof or formal methods.  ",
"FET","FOX","FOX","FOX","FOX proposes to provide a solid foundation of new aspects of data management brought to the fore by the web. The aim is to establish a model of Web-based XML data which accounts for the content, structure and distribution of the data, data evolution, and data incompleteness, in order to understand the dynamic and data-oriented features of the Web. The proposed project will also develop new efficient algorithms for organizing, transforming, and querying Web content.  ",
"FET","GEOMDISS ","GEOMDISS ","GEOMDISS ","GEOMDISS aims to investigate how dissipation influences the geometric phases and geometric pumping in quantum solid-state devices and to assess the role of geometric manipulations in future ICT applications. Since all realistic solid-state devices suffer from dissipation due to their coupling to uncontrolled environment with many degrees of freedom it is crucial to understand how the geometric effects are modified and whether they are still useful.  ",
"FET","GOSPEL","GOSPEL","GOSPEL","GOSPEL aims at enabling slow and fast light propagation as a tunable feature in photonic devices, offering the necessary and often missing functionality of a time-delay/phase shift line in broadband ICT systems.  ",
"FET","HIDEAS","HIDEAS","HIDEAS","HIDEAS aims at exploiting the high-dimensional multimodal entangled quantum states of the optical radiation field to significantly increase the information capacity of quantum communication, quantum imaging and quantum metrology.  ",
"FET","HIP ","HIP ","HIP ","HIP addresses the problem of scaling quantum processors by attempting to build elementary hybrid atom-photon devices and develop the schemes for their integration on platforms capable of being miniaturised and scaled up in functional networks.  ",
"FET","HIVE","HIVE","HIVE","HIVE is attempting to develop a non-invasive brain stimulation device to enable direct machine to brain communication. It will attempt to explore high-level communication using stimulation during different states of consciousness as well as construction of new perceptions.  ",
"FET","ICTECOLLECTIVE ","ICTECOLLECTIVE ","ICTECOLLECTIVE ","ICTECOLLECTIVE aims to develop systematic exploration, understanding, and modelling of systems where ICT is entangled with social structures. The proposed interdisciplinary approach will support the integration of fragmented knowledge from different scientific disciplines concerning social aspects and consequences of ICT into a coherent form, amenable for use in policy-making decisions and of benefit to industry.  ",
"FET","ISENSE","ISENSE","ISENSE","ISENSE aims to create a novel-concept platform for a variety of integrated quantum sensors to be utilized in information and communication technology and systems. The proposal describes a set of scientific and technical breakthroughs for miniaturization and integration of future cold atom based devices. The research activities involve the development of a novel precision force sensor, integrated optical components for quantum sensors and miniaturized laser modules with sufficient spectroscopic stability. The project involves the demonstration of optical lattices based on short range force and gravity sensors.  ",
"FET","LIQUIDPUBLICATION ","LIQUIDPUBLICATION ","LIQUIDPUBLICATION ","LIQUIDPUBLICATION explores how ICT and the lessons learned from the social web can be applied to provide a paradigm shift in the way scientific knowledge is created, evaluated and maintained. The aim is to enable a transition of the ""scientific paper"" from its traditional ""solid"" form to a Liquid Publication that can take multiple shapes, evolving continuously in time, and is enriched by multiple sources.  ",
"FET","LISTA ","LISTA ","LISTA ","LISTA proposes to investigate how human speakers react to changes in the environment, measure the relative success of these strategies using behavioral studies, model speech intelligibility/quality and study algorithms for rapid characterization of the listening context. The central objective is to apply this information to develop novel techniques for artificial and live speech. LISTA will have an impact in all situations where synthetic speech is embedded in devices such as computers and PDAs, mobile and fixed telephones, public information kiosks and other information systems where live speech is used.  ",
"FET","MIDAS","MIDAS","MIDAS","MIDAS aims to work on noise control allowing high fidelity quantum operations on the entanglement of collective variables which are prerequisites for high precision metrology, weak signal sensing and teleportation near the ultimate quantum limits. The project will explore the feasibility of interfacing UCA and SC quantum storage/readout system. This proposal aims to create a new field of research by merging two previously unrelated classes of quantum systems.  ",
"FET","MINOS","MINOS","MINOS","MINOS is targeting an emerging field in photonics, namely micro- and nano-optomechanical cavities with the aim to exploit opto-mechanical effects to control light-matter interaction.  ",
"FET","MOLSPINQIP ","MOLSPINQIP ","MOLSPINQIP ","MOLSPINQIP intends to prove the validity of molecular spin clusters as building blocks for scalable quantum information architectures, focussing on the engineering of new molecules and on the design of suitable computational schemes.  ",
"FET","NAME-QUAM","NAME-QUAM","NAME-QUAM","NAME-QUAM proposes to investigate ultra-cold atom/molecule quantum matter technology for quantum information processing in periodic nano-structures. The objective is the engineering and control of nano-scopic systems based on moderate and long-range quantum mechanical interactions for quantum simulation. These will contribute to advancement of technology for quantum systems that can simulate other quantum systems. The proposal provides an excellent balance between theory and experiment. If the partners succeed in creating parallel quantum computation it will have important impact on the next generation of quantum computing processors, opening a new approach for future generations of quantum computers and quantum simulators.  ",
"FET","NEXTMUSE","NEXTMUSE","NEXTMUSE","NEXTMUSE aims to explore a new approach to the interactive simulation of Computational Fluid Dynamics and Computational Multi-Mechanics. NextMuSE relies on a mesh-free method, Smoothed Particle Hydrodynamics, which is fundamentally different from conventional finite element or volume techniques. Input and output will be immersive and interactive, and the simulation sufficiently automated so that the technology will be nearly invisible to engineers who use it to develop competitive technologies for transport, energy, healthcare and other domains. Successful execution of the project would have an important impact on the simulation of fluids and fluid dynamics for a variety of applications.  ",
"FET","NIW","NIW","NIW","NIW addresses a specific aspect of interaction with virtual environments: the exploitation and integration of haptic, auditory and to a lesser extent visual modalities for generating new paradigms for foot-ground interaction using low-cost actuator based devices.  ",
"FET","OPPORTUNITY","OPPORTUNITY","OPPORTUNITY","OPPORTUNITY seeks to develop methods to recognize and understand context and activity for Ambient Intelligent systems. They will develop opportunistic systems that recognize complex activities/contexts despite the absence of static assumptions about sensor availability and characteristics. The S&T would adapt machine learning to allow dynamic configuration.  ",
"FET","OPTONEURO","OPTONEURO","OPTONEURO","OPTONEURO aims to develop a new optoelectronic technology for optogenetic neural stimulation. Stimulation requires a high intensity pulse of light. However intensities are not available with present spatial illumination sources such as LCD and OLED screens. The proposal aims to design, develop and produce an array of ultra bright electronically controlled microLEDS for the stimulation of excitable cells such as neurons. It could provide to neuroscientist and neuroprostheticists a device, which can independently stimulate thousands of neurons in parallel.  ",
"FET","PD-NET","PD-NET","PD-NET","PD-NET aims to explore the scientific challenges and new technologies required to enable the emergence of large scale networks of pervasive public displays and associated sensors that are open to applications and content from many sources. In effect, the proposal provides the foundation for work on a brand new global communications medium for information access and interaction and aims to ensure that Europe is in the best possible position to benefit from this new medium. The project is highly innovative because no such pervasive display networks exist today and their emergence would represent a radical transformation in the way we think about information dissemination in public spaces.   ",
"FET","PHOCUS","PHOCUS","PHOCUS","PHOCUS aims to design and implement a photonics realization of a liquid state machine (LSM), with the potential for versatile and fast signal handling. It targets to achieve high computational performance with only a small number of photonics components, using dynamical systems with time delay to realize the required high dimensionality for the LSM. While numerical implementations of this concept exist, technical implementations are lacking. The consortium has identified delay-coupled optical systems as ideal substrates for LSMs. They allow achieving complex dynamics and thus the required mapping with only few elements. Moreover, photonic systems have proven to be robust and well-controllable, offering high processing speed and low power consumption. In order to succeed, the consortium intends to realise two different photonic systems to implement the LSM. The photonic implementation will be supported by modelling and theory, and complemented by studies on versatile electronic systems.  ",
"FET","PHOME","PHOME","PHOME","PHOME will identify and address the main obstacles for the development of real applications of optical/photonic meta-materials (PMM). The project will realize 3D PMM devices, reduce losses in PMMs and develop active and tunable/switchable PMMs and chiral PMMs.  ",
"FET","PICC","PICC","PICC","PICC aims to identify tools for controlling ion crystal as their size is scaled up, develop strategies for implementing quantum dynamics of mesoscopic ion Coulomb crystals in a noisy environment and explore the capability of ion Coulomb crystals as quantum simulators. The targeted breakthrough is a ten fold increase in the number of entangled ions available for quantum operation operations. The long-term vision underlying this proposal is to engineer quantum correlations and entanglement in ion Coulomb crystals in order to exploit them for technological purposes of different kinds.  ",
"FET","QNEMS","QNEMS","QNEMS","QNEMS will investigate the quantum properties of nanoscale electromechanical resonator systems, made of carbon nanotubes and photonic crystals, covering frequencies in the MHz and GHz range. The vibrations will be excited by electrical means. To overcome the thermal noise, cooling of the low-frequency resonators will be performed, using two cooling techniques",
"FET","QUANTIP","QUANTIP","QUANTIP","QUANTIP aims to develop the tools, components and concepts that will enable progress towards large-scale, integrated quantum photonic circuits for the development of advanced quantum systems for the purposes of quantum communications, information processing and metrology. A range of discrete integrated quantum photonic components will be developed and then integrated to form proof-of-principle demonstrators of fully-integrated prototypes, where all major components are integrated onto a single chip. This project will establish a new major research direction in Europe for the development of Quantum information science (QIS) using the integrated quantum photonic platform.  ",
"FET","QUEVADIS","QUEVADIS","QUEVADIS","QUEVADIS proposal aims to study quantum computation and information processing in a model where information processing is achieved by dissipation or decoherence. The starting point of the proposal is a recent result showing that if system-environment interaction is engineered in a certain very specific way, then universal quantum computation can be achieved simply by letting the system decohere. Using decoherence to compute, rather than being a problem of degradation, is a novel idea, and the proposal promises significant progress beyond state-of-the-art.  ",
"FET","ROOTHZ","ROOTHZ","ROOTHZ","ROOTHZ addresses the bottleneck of Terahertz Science and Technology, where the fabrication of room temperature, continuous wave, compact, tunable and powerful sources (at low cost, if possible) is the prime challenge. For this sake, the proposal suggests to exploit THz Gunn oscillations in novel (narrow and wide bandgap) semiconductor nano-devices, which have been predicted by simulations but not experimentally confirmed yet. It aims at the fabrication of solid state emitters and detectors at THz frequencies by exploiting the properties of both wide and narrow bandgap semiconductors and the advantages provided by the use of novel device architectures such as slot-diodes and rectifying nano diodes (nano-channels with broken symmetry so called selfswitching diodes, SSDs). The fabrication of THz detectors will complement this objective and allow the demonstration of a simple THz detection/emission subsystem at the conclusion of the proposal.  ",
"FET","SCENIC","SCENIC","SCENIC","SCENIC aims to develop a comprehensive set of methods and analysis tools to enable acoustic systems to model their own characteristics as well as the geometry of the environment in which they operate. This would enable advanced space-time processing solutions based on the system’s characteristics and the environment’s acoustic response. The consortium would develop a general theory that combines acoustic computational geometry with acoustic channel identification in a comprehensive and elegant fashion. It will seek to demonstrate that such modeling can be exploited to push the current boundaries on audio and acoustic processing beyond what is currently possible today.  ",
"FET","SCOPE","SCOPE","SCOPE","SCOPE builds on recent advances in superconducting quantum bit circuits to model, design, fabricate, and measure circuits where the single charge quantum plays the dual role of the flux quantum in classical Josephson junction circuits.  ",
"FET","SEMSEG","SEMSEG","SEMSEG","SEMSEG aims to research a segmentation method for unsteady flow that has the elegance and specificity of (steady) vector field topology, but which provides correct results for unsteady flows as well. Similar to the case of steady flow, where these topological techniques have proven useful for many years, it is expected that the new approach will have an important role in the analysis and discussion of time-dependent flow scenarios. As part of a successful proposed project, concrete algorithms to extract and visualize the topological structures are derived from the new mechanism. Implementations of concrete algorithms to extract and visualize time-varying topological structures will be used to study real-life flow data from different areas of application.  ",
"FET","SIEMPRE","SIEMPRE","SIEMPRE","SIEMPRE aims at developing new theoretical frameworks, computational methods and algorithms for the analysis of creative social behavior within small groups of people. Social interaction is one of the fundamental components of human life, widely studied in psychology and receiving a growing interest from ICT scientific communities. The proposal is concerned with synchronization and in particular with emotional synchronization, which is likely to be an important driver of collaborative processes. The research activities will be focused on ensemble musical performance. Experimental scenarios will highlight the subtle and complex social interaction taking place between expert quartet musicians during live musical performance, and during listening to this music by nonexpert audiences. Concrete objectives are models, techniques and algorithms for the extraction of social features based on the analysis of synchronization processes underlying expressive movements, audio and biometric signals during interpersonal creative communication. Objectives will be achieved through real-time, synchronized multi-modal processing, and machine-learning techniques.  ",
"FET","SIMBAD","SIMBAD","SIMBAD","SIMBAD aims at undertaking a thorough study of several aspects of purely similarity-based pattern analysis and recognition methods, from the theoretical, computational and applicative perspective, considering both supervised and unsupervised learning paradigms.  ",
"FET","SMALL","SMALL","SMALL","SMALL will develop a new foundational framework for processing signals using adaptive sparse structured representations. The consortium would explore new methods to obtain inherently data-driven sparse models, able to cope with large-scale and complicated data. Current design of sparse signal processing requires hand crafted of the dictionary. SMALL would provide automatic methods to provide such dictionaries. Although the S&T plan does not include a specific test application, areas from which such test applications may be drawn are identified.  ",
"FET","STELE","STELE","STELE","STELE focuses on functional principles that can be implemented in nanostructures produced by the state-of-the-art lithography and surface manipulation techniques. The main idea is to use electrically controlled spin currents in highly non-equilibrium regimes with respect to energy and temperature: spin-thermo-electronics.  ",
"FET","TAILPHOX","TAILPHOX","TAILPHOX","TAILPHOX addresses the design and implementation of Silicon phoXonic crystal structures that allow a simultaneous control of both photonic and phononic waves. The final goal is to push the performance of optical devices well beyond the state of the art by this radically new approach. By merging both fields (nanophotonics and nanophononics) within a same platform, novel unprecedented control of light and sound in very small regions will be achieved.  ",
"FET","TANGO","TANGO","TANGO","TANGO aims to develop an exact mathematical theory of emotional communicative behavior. Many everyday actions take place in a social context and affective information forms an important channel of social communication. TANGO aims to take these two familiar ideas one step further by focusing on the essential interactive nature of social communication, in the domain of non verbal communication based entirely on body language and communicative prosody. The research plan involves the investigation of interactions in real life contexts, showing agents in daily life situations such as communication or navigation.  ",
"FET","TREASURE","TREASURE","TREASURE","TREASURE is developing an integrated terahertz (THz) emitter at room temperature, based on a parametric optical process in an AIGaAs device, combining strong material nonlinearity and high optical confinement. The approach is based on a quasi-phase-matching scheme in the whispering-gallery cavity of a microcylinder containing self-assembled quantum-dots. The TREASURE source can bring several crucial advantages such as: room temperature operation, electrical pumping, compactness, THz power in the microwatt range, custom emission wavelength, spectral purity, and the perspective of two-dimensional array schemes.  ",
"FET","UNIQUE","UNIQUE","UNIQUE","UNIQUE focuses on the problem of counterfeiting and tampering with integrated circuits, and aims to develop an integrated approach to protect hardware systems against counterfeiting, cloning, reverse engineering, tampering, and insertion of malicious components. The fundamental ideas underlying this proposal have been very recently discovered. New hardware labelling and authentication schemes, based on physical properties of the underlying hardware components using sub-micron physical security primitives such as the new concept of Physically Unclonable Functions, will be developed. The proposed novel methodologies and tools will support the development of new counterfeit-resistant products in a variety of areas such as consumer electronics, and the automotive, avionic and pharmaceutical industries.  ",
"FET","UNITRIDE","UNITRIDE","UNITRIDE","UNITRIDE proposes to investigate the building blocks of an emerging semiconductor technology for high-performance photonic devices operating in the near infrared (NIR). They will make use of nitride semiconductors to engineer electronic quantum confinement at the nanometer scale in order to realize unipolar devices relying on intersubband (ISB) transitions. The proposal will go far beyond the stat-of-the-art and have significant impact in broad-band communications and sensor applications.    ",
"FET","GSD","GSD","GSD","GSD (addresses the use of future and emerging technologies to address simulation and analysis of global problems such as climate change, to facilitate an improved dialog between scientists and other stakeholders such as policy makers.  ",
"FET","MODAP","MODAP","MODAP","MODAP deals with the emerging interdisciplinary topic of data mining of mobility data while preserving individual privacy, and will further the activities of a privacy observatory.  ",
"FET","TINA","TINA","TINA","TINA is a support action aiming to develop tools for the analysis and visualisation of the relationships between scientific research projects and proposals.  ",
"FET","VISMASTER","VISMASTER","VISMASTER","VISMASTER deals with the emerging interdisciplinary topic of visual analytics and the establishment of a coherent European research community in this field.  ",
"FET","EveryAware","EveryAware","EveryAware","Enhance environmental awareness through social information technologies. The project aims at building a novel approach to urban sensing and environmental communication through the use of current ICT tools. The proponents plan to take advantage of the novel possibilities made available by the distributed computing facilities including personal computers and cell phones to collect data by a number of sources.  Both sensors and human agents, providing empirical evidences and user-generated opinions, are involved in the project. Sensors of several relevant quantities, such as noise and air pollution, are now available for a relatively low cost, and can be distributed within an urban community to collect data. Thanks to current communication networks such data, along with user subjective opinions, can be transferred to server units to be processed and modeled according a number of methods recently developed by environmental scientists, information scientists, graph theorists and physicists.  The results of the data analysis, presented in real-time and through a number of user-friendly interfaces to users and institutions, could trigger a positive change in the behavior of individuals. This would raise the motivation in providing data and opinions, reinforcing in turn the data modeling activity.  Among the applications of such framework are the monitoring activity of the environmental condition citizens are exposed to, the optimization of the urban mobility, the self-organization of users towards a more efficient use of collective resources such as air, space and energy in the urban environment, the modeling of opinion spreading and shift in social communities. The proposed ICT framework addresses both the general public and environmental agencies in order to develop and share the best practices toward the onset of a sustainable development of the urban environment.","distributed sensing, opinion dynamics, complex systems, social annotations, social intelligence, Web2.0, GIS"
"FET","CADMAD","CADMAD","CADMAD","High-throughput Computer-Aided Design, Manufacturing and Application of DNA. CADMAD aims to make a foundational breakthrough in the way computers and computer-aided design and manufacturing is employed in DNA-based research and development, making a radically new use of information technologies in biology and biotechnology.Biology and biotechnology research involves “DNA programming”, which is akin to computer programming.  Researchers modify and combine DNA of interest in a programmatic way to uncover its function, to improve its function, or to create new functions.   Whereas the composition and editing of computer programs is as easy as using a word-processor, the design, construction and editing of DNA in a programmatic fashion is still a slow, expensive, labour-intensive wet-lab process. CADMAD’s vision is to replace the labour-intensive DNA processing carried out today by tens of thousands of skilled wet-lab workers around the world, by high-throughput computer-aided design and manufacturing of DNA, which would be fundamentally more efficient than plain de novo DNA synthesis by effectively reusing existing DNA.  Computed-aided design and manufacturing of semiconductor chips has enabled the computer revolution, the Internet revolution, and the mobile phone revolution.  Computer-aided design and manufacturing of DNA may similarly enable a revolution in biology and biotechnology, in which high-throughput computer-aided and robotically executed experiments replace manual wet-lab work, resulting in accelerated progress in key areas of research and development.","Computer Aided Design and Manufacturing, Hybrid in silico/in vitro systems, Combinatorial DNA Libraries, DNA Fab, DNA Reuse"
"FET","EtoileCascadesIdeas","EtoileCascadesIdeas","EtoileCascadesIdeas","Enhanced Technology for Open Intelligent Learning Environments. Complex systems science is highly interdisciplinary.  The silo-based education provided by most universities creates scientists expert in one discipline but ignorant of most others. Most PhD programmes require students to learn key ideas from other disciplines relevant to their topic, but knowledge across the community is patchy. This includes basic social science and even the core disciplines of mathematics, statistics, physics and ICT. The Complex Systems Society (CSS, 2000+ members) has identified this as a major hindrance to the development of the science.We will develop and use a remarkable new way of automatically creating educational resources. It is scalable so that the cost of educating large numbers of students is very low. It is adaptive to changes in the curriculum in fast-moving research fields creating new learning resources as new topics emerge, and it is adaptive to students by creating learning resource that reflects their personal styles of learning, background knowledge, and language. Étoile is a big step towards personalised learning.The basic étoile concept is simple but a demonstrator is needed to show that the idea works in practice for real students working towards masters and doctoral degrees. We will provide an open source implementation for use by the CSS, and other organisation needing to disseminate new ideas quickly at low cost to a heterogeneous community.Following proof of concept, the CSS will take étoile forward in its long term programme of professional training and recognition. Students with certificated mastery of the core curriculum will be highly attractive as post-docs. As mastery of the core curriculum becomes common communication in the research community will be much easier, there will be less duplication of effort and more cross-fertilization of ideas. Étoile can have big and long-lasting impact on the science of complex systems, and the method can be adopted by other fast-moving research communities.","Complex Systems, Complexity, Mathematcs, Computing, Physics,  Education, Distance Learning, Complex Systems Society"
"FET","INSITE","INSITE","INSITE","The Innovation Society, Sustainability, and ICT. Our society is organized around a positive feedback dynamic that produces innovation cascades. In these cascades, new artifacts are inextricably linked with transformations in social organization and the generation of new “needs” for individual and society.  Besides desired effects, these cascades produce disruptive changes in the environment and in society itself, ultimately leading to sustainability crises. The usual, but inadequate, response to these is more innovation, unleashing new cascades, and new crises.  The core challenge in improving our responses is to link current, reductionist, models of past causalities with novel approaches to increase the number of dimensions in which phenomena are perceived, so that we may get better at anticipating the unanticipated consequences of innovation cascades. INSITE will pave the way for novel ICT approaches that will do so, since only through ICT can complex dynamics be “grasped” in sufficient detail to allow us to do the reverse of customary science: anticipate and complexify, rather than reduce and simplify.To further INSITE’s main objective to build a community dedicated to meeting the challenge described above, we will recruit people from a variety of fields to join us in working groups to (1) prepare case studies that illuminate the dynamics of innovation cascades involving ICT, from printing to the internet, (2) develop a roadmap indicating the kinds and uses of models to understand and guide these dynamics in the direction of sustainability, (3) devise experiments to elucidate innovation dynamics, in the context of multiplayer online computer games, (4) envision practices and technologies to enable networks of innovators to engage in experiments in “participatory policy”, and (5) explore the implications in theory and practice of reconceptualizing technology to include its social dimensions, leading to a notion of “generalized ICT” that includes such diverse things as cities, urban systems and museums.","Innovation Society, sustainability, innovation cascades, participatory policy, generalised ICT, model pragmatics, artifacts, agents, attributions"
"FET","HIATUS","HIATUS","HIATUS","enHanced Interference Alignment Techniquesfor Unprecedented Spectral Efficiency. High spectral efficiency is the holy grail of wireless networks due to the well-known scarcity of radio spectrum. The successive introduction of advanced communication techniques enabled by the massive increases in processing power over the last few decades has enabled a progressive rise in link spectral efficiency, which in emerging systems seems to be approaching its limits.It is becoming increasingly clear that major new improvements in spectral efficiency of wireless networks will have to entail addressing inter-cell interference. While up to recently there seemed to be no way out of the apparent end of the road in spectral efficiency growth, the emerging approach of Interference Alignment (IA)  – coming out of a very recent DARPA-funded project in the US – has cast new light in the spectral efficiency prospects of wireless networks: it promises new degrees of freedom that allow more parallel transmissions to take place within the same spectrum and free of interference from each other. The HIATUS proposal constitutes probably Europe’s first collaborative effort to explore the true potential of this approach in wireless networks, with the goal of making it a strong enabler for ultra-efficient wireless communications in Europe and beyond. The main objectives / challenges of HIATUS will be 1) to unveil the available degrees of freedom in a number of relevant wireless networking paradigms; 2) to explore ways to overcome the need of perfect channel state information (CSI) of all participating users; 3) to identify realistic network architectures / transmission methodologies that offer unprecedented spectral efficiency gains and 4) to provide a proof-of-concept demonstration that will convincingly show the value of the new approach, paving the way for ultra-spectrally-efficient future wireless networks.","spectral efficiency, interference alignment, degrees of freedom, interference discovery, wireless networks, cellular networks"
